Question,difficulty,LLM,temp,N of Docs,Score (Joshna),Score (Mami),Score (Komal),Score (Paul),Type of error,Additional Notes,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,Codellama:13b,0,4,3,2,,,syntactical,"passes in argument ""lease_in_hours"" to renew function, but that is not a parameter the function can take",,,
How can I look up when my slices expire and extend them by 20 days?,Medium,mistral-small,0,4,3,3,,,,tries to iterate and print throguh slices list as though it's a dictionary when it's a Styler object(works w/ get_slices but not list-slices) which means it is unable to grab a slice even thoguh it has the right logic and syntax for renew function,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,codegemma:7b,0,4,3,3,,,syntactical+logical,"all FABRIC stuff is correct, but the way the new lease time is calculated using datetime is wrong.",,,
How can I look up when my slices expire and extend them by 20 days?,Medium,phi4,0,4,4,4,,,,,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,deepseek-coder-v2,0,4,3,3,,,syntactical+logical,tries to iterate and print throguh slices list as though it's a dictionary when it's a Styler object(works w/ get_slices but not list-slices) which means it is unable to grab a slice even thoguh it has the right logic and syntax for renew function,,,
How can I look up when my slices expire and extend them by 20 days?,Medium,gpt-4o-mini,0,4,4,4,,,,,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,Codestral,0,0,0,,0,,syntactical+logical +hallucination,messed up import statment + hallucination of function names + doesn't actually generate code for NUMA tunign adn iperf,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,Codellama:latest,0,0,0,,0,,syntactical+logical +hallucination,messed up import statment + hallucination of function names,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,Codellama:13b,0,0,0,,0,,syntactical+logical +hallucination,messed up import statment + hallucination of function names,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,mistral-small,0,0,0,,0,,syntactical+logical +hallucination,messed up import statment + hallucination of function names,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,codegemma:7b,0,0,0,,0,,syntactical+logical +hallucination,messed up import statment + hallucination of function names,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,phi4,0,0,0,,0,,syntactical+logical +hallucination,messed up import statment + hallucination of function names,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,deepseek-coder-v2,0,0,0,,0,,syntactical+logical +hallucination,messed up import statment + hallucination of function names,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,gpt-4o-mini,0,0,0,,0,,syntactical+logical +hallucination,messed up import statment + hallucination of function names,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,Codestral,0,2,2,,2,,syntactical + logical,discrepancy in docker commands between example and generated code + l3 network isn't set up properly,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,Codellama:latest,0,2,4,,4,,,,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,Codellama:13b,0,2,2,,2,,logical,l3 network isn't set up properly,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,mistral-small,0,2,4,,4,,,,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,codegemma:7b,0,2,2,,3,,syntactical + logical,l3 network isn't set up properly because the site used doesn't have enough resources for this task + discrepancy between iperf code between generated code and examples,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,phi4,0,2,3,,3,,logical,l3 network isn't set up properly because the site used doesn't have enough resources for this task ,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,deepseek-coder-v2,0,2,4,,3,,,"interface mode is not set to auto, so IP addresses would not be assigned, iPerf would fail to transfer traffic.",,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,gpt-4o-mini,0,2,4,,4,,,,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,Codestral,0,4,3,,4,,logical,l3 network isn't set up properly because the site used doesn't have enough resources for this task ,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,Codellama:latest,0,4,2,,3,,logical,l3 network is set up using add_fabnet and thtat doesn't seem to work well with the rest of the code. Causes errors during pinning,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,Codellama:13b,0,4,3,,2,,logical,"l3 network isn't set up properly because the sites used doesn't have enough resources for this task 

[KT] Components are added without specifying name, notebook uses model name to identify components later in pinning, it would fail there.",,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,mistral-small,0,4,3,,3,,logical,l3 network isn't set up properly because the sites used doesn't have enough resources for this task ,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,codegemma:7b,0,4,2,,3,,logical,"l3 network is set up using add_fabnet and thtat doesn't seem to work well with the rest of the code. Causes errors during pinning

[KT] Components added by add_fabnet - FABNET_nic, so pinning would fail, but changing the component name passed to add_fabnet should fix this.",,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,phi4,0,4,2,,2,,syntactical + hallucination + logical,l3 network isn't set up properly because the funcction to connect nodes through L3 network is hallucinated and called with wrong syntax + nodes are created at different sites which isn't compatible with how the rest of the code tries to set up the L3 netwrok,,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,deepseek-coder-v2,0,4,3,,2,,logical,"l3 network isn't set up properly because the mode isn't set to 'auto' for the interfaces

[KT] Creates on L3 network, but 2 should be created one per site and routes should be added if network created by add_l3_network. Alternate solution would be to use add_fabnet, may cause component name error at pinning.",,,
How can I create a slice with two nodes connected with L3 network using Basic NICs and do cpu pinning and NUMA tuning and launch iperf3 tests between them?,Hard,gpt-4o-mini,0,4,3,,4,,logical,l3 network isn't set up properly because the sites used doesn't have enough resources for this task ,,,
